cycle,first(COVID_Maths).S,first(COVID_Maths).E,first(COVID_Maths).I,first(COVID_Maths).H,first(COVID_Maths).M,first(COVID_Maths).D,first(COVID_Maths).R
99,3.3798581961541196,0.7207407538342361,0.23876290326388303,0.2345039580385145,6.0148874211086545,24.916924529472126,64.02633284826862
100,3.389054095259139,0.7146601229469063,0.23660978783755202,0.2318713167745332,5.944568306630619,24.975311445670073,63.86823297547108
101,3.399732547206318,0.7092684890269246,0.23465807656018736,0.22931617269818488,5.875622336502448,25.033020738578408,63.70870826992808
102,3.411538709027234,0.7046257999768426,0.23293395124469962,0.22684829001478,5.808155945479411,25.090066849482554,63.54784101899283
103,3.4241218264554685,0.7007704316367066,0.23145606521877543,0.22447626632140397,5.742288797385168,25.146465422153323,63.38572129175551
104,3.43714162894,0.6977210359728069,0.2302361026680618,0.22220743794893444,5.6781475945445345,25.20223336966126,63.22244580237727
105,3.450273928084169,0.6954783998489218,0.22927937463172252,0.22004782224214742,5.615860593419489,25.257388887176408,63.05811671199861
106,3.463215497783805,0.6940272509515517,0.22858541901700688,0.218002087599133,5.555552813874545,25.311951417702524,62.89284039848191
107,3.4756882974863985,0.693337982074424,0.22814858514692243,0.2160735443197975,5.4973419092363605,25.365941577324215,62.72672621583762
108,3.4874430789016277,0.6933682916465843,0.22795859417939415,0.2142641514950855,5.441334654290453,25.419381046083053,62.55988525980866
109,3.4982623942951565,0.6940647571934455,0.22800107503512015,0.21257453713539673,5.387624006279595,25.472292430125023,62.39242915261539
110,3.507963003796778,0.6953643698218207,0.22825808126046054,0.2110040303832535,5.336286697551731,25.524699100331905,62.22446885803887
111,3.516397662104045,0.6971960624916772,0.228708597674442,0.20955070592118016,5.287381325620285,25.576625012296997,62.05611353751437
112,3.5234562532944316,0.6994822635658229,0.22932904691957967,0.20821144154152724,5.24094691513958,25.628094512248257,61.88746945835978
113,3.5290662374656865,0.7021405007958685,0.23009380541296726,0.20698199028322012,5.1970019350169165,25.67913213335543,61.71863896629449
114,3.533192375397027,0.7050850705069128,0.23097573597267204,0.205857068571942,5.155543761215088,25.729762386770357,61.54971953563665
115,3.5358357075752025,0.7082287734305281,0.2319467409131061,0.2048304614535045,5.116548580679053,25.780009551713476,61.38080291165092
116,3.5370317813170313,0.7114847037137988,0.2329783350491394,0.20389514533272732,5.079971733505434,25.829897468904356,61.21197436013137
117,3.536848143212139,0.7147680625486817,0.23404223325942317,0.2030434276902052,5.0457484885674075,25.87944934160131,61.04331203918156
118,3.5353811419179477,0.717997954137168,0.23511094251008652,0.202267102135579,5.013795242283494,25.928687548428652,60.874886507102815
119,3.5327521161305286,0.7210991108028336,0.236158344018241,0.20155761597444266,4.98401112142228,25.977633471996825,60.70676037821851
120,3.5291030716548875,0.7240034872508863,0.23716024800080718,0.20090624633385043,4.9562799594672,26.026307347031544,60.538988135342635
121,3.5245919771580883,0.7266516621850648,0.23809490159314892,0.20030427992660088,4.930472603128922,26.074728131310238,60.37161610354877
122,3.5193878278937594,0.7289939891381085,0.2389434302953879,0.19974319084410075,4.906449492305981,26.12291340214826,60.20468258511701
123,3.513665638454061,0.7309914473157769,0.2396901948109006,0.19921481043503653,4.884063444472171,26.170879280497864,60.038218150320084
124,3.50760152822389,0.7326161567610769,0.24032304829631246,0.19871148340120653,4.8631625643867915,26.218640383936595,59.87224607340393
125,3.501368056384437,0.7338515389749651,0.24083348357944234,0.19822620472998548,4.843593193275441,26.266209808966718,59.70678289809799
126,3.495129947674538,0.7346921226842197,0.2412166654034302,0.19775273294900036,4.825202809005304,26.313599142161255,59.541839112607505
127,3.4890403271286634,0.7351430129758046,0.24147134870368744,0.19728567635759087,4.80784279067923,26.36081849882405,59.377419910606335
128,3.4832375537443228,0.7352190588399836,0.24159968976678425,0.19682055025691017,4.791370967466491,26.407876587024795,59.2135260124788
129,3.4778427118989144,0.7349437678770193,0.24160696233906176,0.19635380464559002,4.77565388192826,26.45478079416862,59.05015452007467
130,3.4729577877850244,0.7343480265476209,0.24150119492563896,0.1958828232493195,4.7605687117857665,26.501537292693754,58.88729977855162
131,3.468664528380892,0.7334686894159773,0.24129274836516645,0.1954058960024492,4.746004809974941,26.548151161088246,58.724954220379864
132,3.4650239543004107,0.7323471013859821,0.24099385415999325,0.19492216811443153,4.731864839770553,26.594626516181098,58.56310916910592
133,3.462076476495359,0.7310276134470343,0.24061813402026108,0.1944315695814644,4.718065498587638,26.64096665260049,58.40175558375784
134,3.4598425508408073,0.7295561457308786,0.24018011981189172,0.19393472942537593,4.704537839744848,26.687174185386436,58.24088472856179
135,3.458323794200843,0.7279788427239982,0.2396947908460716,0.1934328790693688,4.69122721517424,26.73325119197697,58.080488756650134
136,3.457504480270799,0.7263408553133477,0.23917714252660288,0.19292774913005292,4.678092873212919,26.779199350132565,57.92056120042369
137,3.457353332626028,0.7246852739236768,0.23864179710494077,0.19242146356999248,4.665107253914054,26.825020068790366,57.76109736497838
138,3.4578255350886655,0.7230522271281571,0.23810266397722515,0.19191643467548833,4.652255029720766,26.870714609321283,57.6020946243635
139,3.4588648848040124,0.7214781513668115,0.23757265383691537,0.1914152617613693,4.639531942024029,26.916284195170338,57.44355262330251
140,3.4604060203854505,0.7199952301528545,0.23706344824816622,0.1909206359131511,4.626943484401053,26.96173010836871,57.285473389334804
141,3.462376665340341,0.7186309955410414,0.23658532393664905,0.19043525250200508,4.614503481629918,27.007053771896953,57.12786136212429
142,3.4646998350814138,0.7174080806555166,0.2361470293495673,0.18996173268252495,4.602232610369392,27.05225681733561,56.97072334796064
143,3.467295963680167,0.7163441095779828,0.2357557098050508,0.1895025546280068,4.590156903145286,27.097341137653284,56.814068408312394
144,3.470084913819185,0.7154517096457095,0.2354168767830012,0.18905999488241682,4.578306272420777,27.14230892534626,56.65790769174453
145,3.472987839984746,0.7147386309257036,0.2351344165292977,0.18863607991272288,4.566713086406832,27.18716269645629,56.50225421866364
146,3.4759288807685564,0.714207958031571,0.23491063306499302,0.18823254772323728,4.555410823171881,27.231905301254375,56.34712262827199
147,3.478836661267478,0.7138584002679094,0.2347463208220857,0.1878508192339515,4.544432824737235,27.27653992259097,56.192528896858065
148,3.4816455910942143,0.7136846470958459,0.23464086238460843,0.18749197901410902,4.533811168322079,27.321070063080175,56.03849003618212
149,3.484296947583841,0.7136777769335857,0.2345923471273887,0.1871567648865074,4.523575667788396,27.365499522413103,55.885023780259324
150,3.4867397375520466,0.7138257082111937,0.23459770685969625,0.18684556586424705,4.5137530146397795,27.409832366185103,55.732148268339756
151,3.48893133456934,0.7141136823156049,0.23465286485875173,0.1865584278387645,4.504366064618962,27.454072887680407,55.57988173133475
152,3.4908378922701093,0.7145247685640135,0.23475289489690063,0.1862950663975515,4.495433272974411,27.498225564086344,55.42824218835904
153,3.492434537785586,0.7150403816469778,0.23489218701949938,0.18605488610637952,4.486968278764484,27.54229500861191,55.27724715944328
154,3.493705352998378,0.7156408021346461,0.23506461692440445,0.18583700554151575,4.478979636077997,27.58628591996426,55.126913399817
155,3.4946431549398382,0.7163056907113243,0.23526371584461825,0.18564028730243382,4.471470687723164,27.630203030592202,54.97725666046652
156,3.495249090222147,0.7170145868783987,0.23548283786617694,0.1854633721773862,4.46443957474002,27.674051055040174,54.8282914789275
157,3.495532061812287,0.7177473830289773,0.23571532165035025,0.18530471657721684,4.4578793730123305,27.71783463967026,54.68003100348042
158,3.4955080095857447,0.7184847651276378,0.23595464359945537,0.18516263230244998,4.451778346303073,27.761558314904473,54.53248685308101
159,3.49519906880436,0.7192086117879012,0.2361945596330915,0.18503532767101588,4.446120303240597,27.805226451016534,54.38566901448651
160,3.494632632806789,0.7199023443686644,0.2364292329449893,0.18492094901475206,4.440885044185322,27.84884321836327,54.23958577714668
161,3.493840347660171,0.7205512218226802,0.23665334540123,0.18481762155703574,4.436048882563048,27.892412552794024,54.09424370553353
162,3.4928570672049317,0.7211425754110162,0.23686219062101177,0.18472348871509528,4.43158522421846,27.9359381268128,53.94964764771051
163,3.4917197967766294,0.721665980006369,0.2370517472452772,0.18463674893048385,4.427465187675749,27.97942332689942,53.80580077811452
164,3.4904666528994053,0.7221133604811467,0.23721873143183253,0.18455568921958784,4.423658247936971,28.02287123722272,53.662704671767
165,3.48913586445086,0.7224790335325443,0.23736062819656611,0.18447871475055902,4.42013288663186,28.06628462980904,53.52035940647019
166,3.487764838278254,0.7227596871458871,0.2374757018224813,0.18440437388947983,4.416857231964797,28.109665961064298,53.378763689000834
167,3.486389309118017,0.7229543016475904,0.2375629861523965,0.18433137831113325,4.413799672973319,28.15301737439405,53.23791500090231
168,3.4850425900808957,0.7230640178647088,0.23762225613821605,0.18425861793164686,4.410929434083521,28.196340708527035,53.09780975921087
169,3.48375493607693,0.7230919592174134,0.2376539825130012,0.1841851705841946,4.40821709776604,28.239637511025357,52.9584434873321
170,3.482553028536829,0.7230430155703967,0.23765927185960545,0.18411030651760948,4.405635065191385,28.282909056365348,52.81981099131334
171,3.481459585802651,0.7229235973274962,0.23763979465541607,0.18403348794457758,4.403157947070762,28.326156367894022,52.68190653692131
172,3.4804930997589687,0.7227413685616811,0.237597704067794,0.1839543639954298,4.400762879259158,28.369380242913273,52.544724023225406
173,3.4796676957807815,0.722504967942181,0.23753554835731638,0.1838727615412154,4.398429760100204,28.41258128011342,52.40825714877874
174,3.4789931099838673,0.7222237258825477,0.23745617972075675,0.1837886724330226,4.396141408821238,28.455759908571437,52.272499566969046
175,3.4784747751438787,0.7219073857327439,0.23736266228343178,0.1837022377622826,4.393883646465676,28.498916417543793,52.13744502764815
176,3.478114004540108,0.7215658360289466,0.2372581817459456,0.18361372977935886,4.391645302814108,28.54205098631896,52.00308750272562
